"Country_Region","Last_Update","Confirmed","Deaths","Recovered","Active"
"Armenia",2020-04-13,1039,14,211,814
"Armenia",2020-04-14,1067,16,265,786
"Armenia",2020-04-15,1111,17,297,797
"Armenia",2020-04-16,1159,18,358,783
"Australia",2020-04-01,19,0,0,19
"Australia",2020-04-01,69,2,5,62
"Australia",2020-04-01,84,1,8,75
"Australia",2020-04-01,367,0,6,361
"Australia",2020-04-01,392,2,48,342
"Australia",2020-04-01,781,2,8,771
"Australia",2020-04-01,968,4,343,621
"Australia",2020-04-01,2182,9,4,2169
"Australia",2020-04-02,21,0,0,21
"Australia",2020-04-02,72,2,5,65
"Australia",2020-04-02,87,1,11,75
"Australia",2020-04-02,367,0,6,361
"Australia",2020-04-02,400,2,64,334
"Australia",2020-04-02,835,4,8,823
"Australia",2020-04-02,1036,5,422,609
"Australia",2020-04-02,2298,10,4,2284
"Australia",2020-04-03,22,0,0,22
"Australia",2020-04-03,74,2,5,67
"Australia",2020-04-03,91,1,18,72
"Australia",2020-04-03,396,0,46,350
"Australia",2020-04-03,400,2,92,306
"Australia",2020-04-03,873,4,8,861
"Australia",2020-04-03,1085,7,476,602
"Australia",2020-04-03,2389,12,4,2373
"Australia",2020-04-04,26,0,1,25
"Australia",2020-04-04,80,2,5,73
"Australia",2020-04-04,93,2,18,73
"Australia",2020-04-04,407,0,46,361
"Australia",2020-04-04,436,2,92,342
"Australia",2020-04-04,900,4,8,888
"Australia",2020-04-04,1115,8,527,580
"Australia",2020-04-04,2493,12,4,2477
"Australia",2020-04-05,27,0,1,26
"Australia",2020-04-05,82,2,5,75
"Australia",2020-04-05,96,2,28,66
"Australia",2020-04-05,407,0,46,361
"Australia",2020-04-05,453,3,92,358
"Australia",2020-04-05,907,4,8,895
"Australia",2020-04-05,1135,8,573,554
"Australia",2020-04-05,2580,16,4,2560
"Australia",2020-04-06,28,0,2,26
"Australia",2020-04-06,86,2,26,58
"Australia",2020-04-06,96,2,40,54
"Australia",2020-04-06,411,0,53,358
"Australia",2020-04-06,460,4,162,294
"Australia",2020-04-06,921,4,173,744
"Australia",2020-04-06,1158,10,620,528
"Australia",2020-04-06,2637,18,4,2615
"Australia",2020-04-07,28,0,2,26
"Australia",2020-04-07,89,2,26,61
"Australia",2020-04-07,96,2,40,54
"Australia",2020-04-07,411,1,53,357
"Australia",2020-04-07,460,4,162,294
"Australia",2020-04-07,934,4,173,757
"Australia",2020-04-07,1191,11,620,560
"Australia",2020-04-07,2686,21,4,2661
"Australia",2020-04-08,28,0,2,26
"Australia",2020-04-08,98,3,26,69
"Australia",2020-04-08,99,2,40,57
"Australia",2020-04-08,415,2,53,360
"Australia",2020-04-08,481,6,162,313
"Australia",2020-04-08,943,4,173,766
"Australia",2020-04-08,1212,12,620,580
"Australia",2020-04-08,2734,21,4,2709
"Australia",2020-04-09,28,0,2,26
"Australia",2020-04-09,100,2,47,51
"Australia",2020-04-09,111,3,48,60
"Australia",2020-04-09,420,3,120,297
"Australia",2020-04-09,495,6,170,319
"Australia",2020-04-09,953,4,345,604
"Australia",2020-04-09,1228,12,736,480
"Australia",2020-04-09,2773,21,4,2748
"Australia",2020-04-10,28,0,2,26
"Australia",2020-04-10,103,2,59,42
"Australia",2020-04-10,122,4,48,70
"Australia",2020-04-10,428,3,179,246
"Australia",2020-04-10,506,6,203,297
"Australia",2020-04-10,965,4,372,589
"Australia",2020-04-10,1241,13,926,302
"Australia",2020-04-10,2822,22,4,2796
"Australia",2020-04-11,28,0,2,26
"Australia",2020-04-11,103,2,59,42
"Australia",2020-04-11,133,4,48,81
"Australia",2020-04-11,429,3,179,247
"Australia",2020-04-11,514,6,216,292
"Australia",2020-04-11,974,5,372,597
"Australia",2020-04-11,1265,14,926,325
"Australia",2020-04-11,2857,23,4,2830
"Australia",2020-04-12,28,0,2,26
"Australia",2020-04-12,103,2,59,42
"Australia",2020-04-12,133,5,48,80
"Australia",2020-04-12,429,4,179,246
"Australia",2020-04-12,514,6,216,292
"Australia",2020-04-12,983,5,372,606
"Australia",2020-04-12,1268,14,926,328
"Australia",2020-04-12,2857,24,4,2829
"Australia",2020-04-13,28,0,2,26
"Australia",2020-04-13,102,2,59,41
"Australia",2020-04-13,144,5,48,91
"Australia",2020-04-13,429,4,179,246
"Australia",2020-04-13,517,6,216,295
"Australia",2020-04-13,987,5,372,610
"Australia",2020-04-13,1281,14,926,341
"Australia",2020-04-13,2863,25,4,2834
"Australia",2020-04-14,28,0,6,22
"Australia",2020-04-14,103,2,72,29
"Australia",2020-04-14,165,6,53,106
"Australia",2020-04-14,433,4,240,189
"Australia",2020-04-14,527,6,251,270
"Australia",2020-04-14,998,5,442,551
"Australia",2020-04-14,1291,14,1118,159
"Australia",2020-04-14,2870,25,4,2841
"Australia",2020-04-15,28,0,6,22
"Australia",2020-04-15,103,3,72,28
"Australia",2020-04-15,165,6,53,106
"Australia",2020-04-15,433,4,240,189
"Australia",2020-04-15,527,6,251,270
"Australia",2020-04-15,999,5,442,552
"Australia",2020-04-15,1299,14,1118,167
"Australia",2020-04-15,2886,25,4,2857
"Australia",2020-04-16,28,0,6,22
"Australia",2020-04-16,103,3,82,18
"Australia",2020-04-16,169,6,67,96
"Australia",2020-04-16,433,4,279,150
"Australia",2020-04-16,532,6,338,188
"Australia",2020-04-16,1001,5,442,554
"Australia",2020-04-16,1299,14,1137,148
"Australia",2020-04-16,2897,25,4,2868
"Austria",2020-04-01,10711,146,1436,9129
"Austria",2020-04-02,11129,158,1749,9222
"Austria",2020-04-03,11524,168,2022,9334
"Austria",2020-04-04,11781,186,2507,9088
"Austria",2020-04-05,12051,204,2998,8849
"Austria",2020-04-06,12297,220,3463,8614
"Austria",2020-04-07,12639,243,4046,8350
"Austria",2020-04-08,12942,273,4512,8157
"Austria",2020-04-09,13244,295,5240,7709
"Austria",2020-04-10,13555,319,6064,7172
"Austria",2020-04-11,13806,337,6604,6865
"Austria",2020-04-12,13945,350,6987,6608
"Austria",2020-04-13,14041,368,7343,6330
"Austria",2020-04-14,14226,384,7633,6209
"Austria",2020-04-15,14336,393,8098,5845
"Austria",2020-04-16,14476,410,8986,5080
"Azerbaijan",2020-04-01,359,5,26,328
"Azerbaijan",2020-04-02,400,5,26,369
"Azerbaijan",2020-04-03,443,5,32,406
"Azerbaijan",2020-04-04,521,5,32,484
"Azerbaijan",2020-04-05,584,7,32,545
"Azerbaijan",2020-04-06,641,7,44,590
"Azerbaijan",2020-04-07,717,8,44,665
"Azerbaijan",2020-04-08,822,8,63,751
"Azerbaijan",2020-04-09,926,9,101,816
"Azerbaijan",2020-04-10,991,10,159,822
"Azerbaijan",2020-04-11,1058,11,200,847
"Azerbaijan",2020-04-12,1098,11,250,837
"Azerbaijan",2020-04-13,1148,12,289,847
"Azerbaijan",2020-04-14,1197,13,351,833
"Azerbaijan",2020-04-15,1253,13,404,836
"Azerbaijan",2020-04-16,1283,15,460,808
"Bahamas",2020-04-01,21,1,1,19
"Bahamas",2020-04-02,24,1,1,22
"Bahamas",2020-04-03,24,1,1,22
"Bahamas",2020-04-04,28,4,0,24
"Bahamas",2020-04-05,28,4,0,24
"Bahamas",2020-04-06,29,5,4,20
"Bahamas",2020-04-07,33,6,5,22
"Bahamas",2020-04-08,40,7,5,28
"Bahamas",2020-04-09,41,8,5,28
"Bahamas",2020-04-10,42,8,5,29
"Bahamas",2020-04-11,46,8,5,33
"Bahamas",2020-04-12,46,8,5,33
"Bahamas",2020-04-13,47,8,6,33
"Bahamas",2020-04-14,49,8,6,35
"Bahamas",2020-04-15,49,8,6,35
"Bahamas",2020-04-16,53,8,6,39
"Bahrain",2020-04-01,569,4,337,228
"Bahrain",2020-04-02,643,4,381,258
"Bahrain",2020-04-03,672,4,382,286
"Bahrain",2020-04-04,688,4,423,261
"Bahrain",2020-04-05,700,4,431,265
"Bahrain",2020-04-06,756,4,458,294
"Bahrain",2020-04-07,811,5,458,348
"Bahrain",2020-04-08,823,5,477,341
"Bahrain",2020-04-09,887,5,519,363
"Bahrain",2020-04-10,925,6,539,380
"Bahrain",2020-04-11,1040,6,555,479
"Bahrain",2020-04-12,1136,6,558,572
"Bahrain",2020-04-13,1361,6,591,764
"Bahrain",2020-04-14,1528,7,645,876
"Bahrain",2020-04-15,1671,7,663,1001
"Bahrain",2020-04-16,1700,7,703,990
"Bangladesh",2020-04-01,54,6,25,23
"Bangladesh",2020-04-02,56,6,25,25
"Bangladesh",2020-04-03,61,6,26,29
"Bangladesh",2020-04-04,70,8,30,32
"Bangladesh",2020-04-05,88,9,33,46
"Bangladesh",2020-04-06,123,12,33,78
"Bangladesh",2020-04-07,164,17,33,114
"Bangladesh",2020-04-08,218,20,33,165
"Bangladesh",2020-04-09,330,21,33,276
"Bangladesh",2020-04-10,424,27,33,364
"Bangladesh",2020-04-11,482,30,36,416
"Bangladesh",2020-04-12,621,34,39,548
"Bangladesh",2020-04-13,803,39,42,722
"Bangladesh",2020-04-14,1012,46,42,924
"Bangladesh",2020-04-15,1231,50,49,1132
"Bangladesh",2020-04-16,1572,60,49,1463
"Barbados",2020-04-01,34,0,0,34
"Barbados",2020-04-02,46,0,0,46
"Barbados",2020-04-03,51,0,0,51
"Barbados",2020-04-04,52,0,0,52
"Barbados",2020-04-05,56,1,6,49
"Barbados",2020-04-06,60,2,6,52
"Barbados",2020-04-07,63,3,6,54
"Barbados",2020-04-08,63,3,8,52
"Barbados",2020-04-09,66,3,11,52
"Barbados",2020-04-10,67,4,11,52
"Barbados",2020-04-11,68,4,11,53
"Barbados",2020-04-12,71,4,11,56
"Barbados",2020-04-13,72,4,13,55
"Barbados",2020-04-14,72,4,13,55
"Barbados",2020-04-15,73,5,15,53
"Barbados",2020-04-16,75,5,15,55
"Belarus",2020-04-01,163,2,53,108
"Belarus",2020-04-02,304,4,53,247
"Belarus",2020-04-03,351,4,53,294
"Belarus",2020-04-04,440,5,53,382
"Belarus",2020-04-05,562,8,52,502
"Belarus",2020-04-06,700,13,53,634
"Belarus",2020-04-07,861,13,54,794
"Belarus",2020-04-08,1066,13,77,976
"Belarus",2020-04-09,1486,16,139,1331
"Belarus",2020-04-10,1981,19,169,1793
"Belarus",2020-04-11,2226,23,172,2031
"Belarus",2020-04-12,2578,26,203,2349
"Belarus",2020-04-13,2919,29,203,2687
"Belarus",2020-04-14,3281,33,203,3045
"Belarus",2020-04-15,3728,36,203,3489
"Belarus",2020-04-16,4204,40,203,3961
"Belgium",2020-04-01,13964,828,2132,11004
"Belgium",2020-04-02,15348,1011,2495,11842
"Belgium",2020-04-03,16770,1143,2872,12755
"Belgium",2020-04-04,18431,1283,3247,13901
"Belgium",2020-04-05,19691,1447,3751,14493
"Belgium",2020-04-06,20814,1632,3986,15196
"Belgium",2020-04-07,22194,2035,4157,16002
"Belgium",2020-04-08,23403,2240,4681,16482
"Belgium",2020-04-09,24983,2523,5164,17296
"Belgium",2020-04-10,26667,3019,5568,18080
"Belgium",2020-04-11,28018,3346,5986,18686
"Belgium",2020-04-12,29647,3600,6463,19584
"Belgium",2020-04-13,30589,3903,6707,19979
"Belgium",2020-04-14,31119,4157,6868,20094
"Belgium",2020-04-15,33573,4440,7107,22026
"Belgium",2020-04-16,34809,4857,7562,22390
"Belize",2020-04-01,3,0,0,3
"Belize",2020-04-02,3,0,0,3
"Belize",2020-04-03,4,0,0,4
"Belize",2020-04-04,4,0,0,4
"Belize",2020-04-05,5,0,0,5
"Belize",2020-04-06,7,1,0,6
"Belize",2020-04-07,7,1,0,6
"Belize",2020-04-08,8,1,0,7
"Belize",2020-04-09,9,1,0,8
"Belize",2020-04-10,10,2,0,8
"Belize",2020-04-11,13,2,0,11
"Belize",2020-04-12,14,2,0,12
"Belize",2020-04-13,18,2,0,16
"Belize",2020-04-14,18,2,0,16
"Belize",2020-04-15,18,2,0,16
"Belize",2020-04-16,18,2,0,16
"Benin",2020-04-01,13,0,1,12
"Benin",2020-04-02,13,0,1,12
"Benin",2020-04-03,16,0,2,14
"Benin",2020-04-04,16,0,2,14
"Benin",2020-04-05,22,0,5,17
"Benin",2020-04-06,26,1,5,20
"Benin",2020-04-07,26,1,5,20
"Benin",2020-04-08,26,1,5,20
"Benin",2020-04-09,26,1,5,20
"Benin",2020-04-10,35,1,5,29
"Benin",2020-04-11,35,1,5,29
"Benin",2020-04-12,35,1,5,29
"Benin",2020-04-13,35,1,5,29
"Benin",2020-04-14,35,1,18,16
"Benin",2020-04-15,35,1,18,16
"Benin",2020-04-16,35,1,18,16
"Bhutan",2020-04-01,4,0,0,4
"Bhutan",2020-04-02,5,0,1,4
"Bhutan",2020-04-03,5,0,2,3
"Bhutan",2020-04-04,5,0,2,3
"Bhutan",2020-04-05,5,0,2,3
"Bhutan",2020-04-06,5,0,2,3
"Bhutan",2020-04-07,5,0,2,3
"Bhutan",2020-04-08,5,0,2,3
"Bhutan",2020-04-09,5,0,2,3
"Bhutan",2020-04-10,5,0,2,3
"Bhutan",2020-04-11,5,0,2,3
"Bhutan",2020-04-12,5,0,2,3
"Bhutan",2020-04-13,5,0,2,3
"Bhutan",2020-04-14,5,0,2,3
"Bhutan",2020-04-15,5,0,2,3
"Bhutan",2020-04-16,5,0,2,3
"Bolivia",2020-04-01,115,7,1,107
"Bolivia",2020-04-02,123,8,1,114
"Bolivia",2020-04-03,132,9,1,122
"Bolivia",2020-04-04,139,10,1,128
"Bolivia",2020-04-05,157,10,2,145
"Bolivia",2020-04-06,183,11,2,170
"Bolivia",2020-04-07,194,14,2,178
"Bolivia",2020-04-08,210,15,2,193
"Bolivia",2020-04-09,264,18,2,244
"Bolivia",2020-04-10,268,19,2,247
"Bolivia",2020-04-11,275,20,2,253
"Bolivia",2020-04-12,300,24,2,274
"Bolivia",2020-04-13,330,27,2,301
"Bolivia",2020-04-14,354,28,6,320
"Bolivia",2020-04-15,397,28,7,362
"Bolivia",2020-04-16,441,29,14,398
"Bosnia and Herzegovina",2020-04-01,459,13,19,427
"Bosnia and Herzegovina",2020-04-02,533,16,20,497
"Bosnia and Herzegovina",2020-04-03,579,17,27,535
"Bosnia and Herzegovina",2020-04-04,624,21,30,573
"Bosnia and Herzegovina",2020-04-05,654,23,30,601
"Bosnia and Herzegovina",2020-04-06,674,29,47,598
"Bosnia and Herzegovina",2020-04-07,764,33,68,663
"Bosnia and Herzegovina",2020-04-08,804,34,79,691
"Bosnia and Herzegovina",2020-04-09,858,35,101,722
"Bosnia and Herzegovina",2020-04-10,901,36,129,736
"Bosnia and Herzegovina",2020-04-11,946,37,139,770
"Bosnia and Herzegovina",2020-04-12,1009,39,193,777
"Bosnia and Herzegovina",2020-04-13,1037,39,206,792
"Bosnia and Herzegovina",2020-04-14,1083,40,236,807
"Bosnia and Herzegovina",2020-04-15,1110,41,253,816
"Bosnia and Herzegovina",2020-04-16,1167,43,277,847
"Botswana",2020-04-01,4,1,0,3
"Botswana",2020-04-02,4,1,0,3
"Botswana",2020-04-03,4,1,0,3
"Botswana",2020-04-04,4,1,0,3
"Botswana",2020-04-05,6,1,0,5
"Botswana",2020-04-06,6,1,0,5
"Botswana",2020-04-07,6,1,0,5
"Botswana",2020-04-08,6,1,0,5
"Botswana",2020-04-09,13,1,0,12
"Botswana",2020-04-10,13,1,0,12
"Botswana",2020-04-11,13,1,0,12
"Botswana",2020-04-12,13,1,0,12
"Botswana",2020-04-13,13,1,0,12
"Botswana",2020-04-14,13,1,0,12
"Botswana",2020-04-15,13,1,0,12
"Botswana",2020-04-16,15,1,0,14
"Brazil",2020-04-01,6836,240,127,6469
"Brazil",2020-04-02,8044,324,127,7593
"Brazil",2020-04-03,9056,359,127,8570
"Brazil",2020-04-04,10360,445,127,9788
"Brazil",2020-04-05,11130,486,127,10517
"Brazil",2020-04-06,12161,564,127,11470
"Brazil",2020-04-07,14034,686,127,13221
"Brazil",2020-04-08,16170,819,127,15224
"Brazil",2020-04-09,18092,950,173,16969
"Brazil",2020-04-10,19638,1057,173,18408
"Brazil",2020-04-11,20727,1124,173,19430
"Brazil",2020-04-12,22192,1223,173,20796
"Brazil",2020-04-13,23430,1328,173,21929
"Brazil",2020-04-14,25262,1532,3046,20684
"Brazil",2020-04-15,28320,1736,14026,12558
"Brazil",2020-04-16,30425,1924,14026,14475
"Brunei",2020-04-01,131,1,52,78
"Brunei",2020-04-02,133,1,56,76
"Brunei",2020-04-03,134,1,65,68
"Brunei",2020-04-04,135,1,66,68
"Brunei",2020-04-05,135,1,73,61
"Brunei",2020-04-06,135,1,82,52
"Brunei",2020-04-07,135,1,85,49
"Brunei",2020-04-08,135,1,91,43
"Brunei",2020-04-09,135,1,92,42
"Brunei",2020-04-10,136,1,99,36
"Brunei",2020-04-11,136,1,104,31
"Brunei",2020-04-12,136,1,106,29
"Brunei",2020-04-13,136,1,107,28
"Brunei",2020-04-14,136,1,107,28
"Brunei",2020-04-15,136,1,108,27
"Brunei",2020-04-16,136,1,108,27
"Bulgaria",2020-04-01,422,10,20,392
"Bulgaria",2020-04-02,457,10,25,422
"Bulgaria",2020-04-03,485,14,30,441
"Bulgaria",2020-04-04,503,17,34,452
"Bulgaria",2020-04-05,531,20,37,474
"Bulgaria",2020-04-06,549,22,39,488
"Bulgaria",2020-04-07,577,23,42,512
"Bulgaria",2020-04-08,593,24,42,527
"Bulgaria",2020-04-09,618,24,48,546
"Bulgaria",2020-04-10,635,25,54,556
"Bulgaria",2020-04-11,661,28,62,571
"Bulgaria",2020-04-12,675,29,68,578
"Bulgaria",2020-04-13,685,32,71,582
"Bulgaria",2020-04-14,713,35,81,597
"Bulgaria",2020-04-15,747,36,105,606
"Bulgaria",2020-04-16,800,38,122,640
"Burkina Faso",2020-04-01,282,16,46,220
"Burkina Faso",2020-04-02,288,16,50,222
"Burkina Faso",2020-04-03,302,16,50,236
"Burkina Faso",2020-04-04,318,16,66,236
"Burkina Faso",2020-04-05,345,17,90,238
"Burkina Faso",2020-04-06,364,18,108,238
"Burkina Faso",2020-04-07,384,19,127,238
"Burkina Faso",2020-04-08,414,23,134,257
"Burkina Faso",2020-04-09,443,24,146,273
"Burkina Faso",2020-04-10,443,24,146,273
"Burkina Faso",2020-04-11,484,27,155,302
"Burkina Faso",2020-04-12,497,27,161,309
"Burkina Faso",2020-04-13,497,27,161,309
"Burkina Faso",2020-04-14,528,30,177,321
"Burkina Faso",2020-04-15,542,32,226,284
"Burkina Faso",2020-04-16,546,32,257,257
"Burma",2020-04-01,15,1,0,14
"Burma",2020-04-02,20,1,0,19
"Burma",2020-04-03,20,1,0,19
"Burma",2020-04-04,21,1,0,20
"Burma",2020-04-05,21,1,0,20
"Burma",2020-04-06,22,1,0,21
"Burma",2020-04-07,22,1,0,21
"Burma",2020-04-08,22,3,0,19
"Burma",2020-04-09,23,3,2,18
"Burma",2020-04-10,27,3,2,22
"Burma",2020-04-11,38,3,2,33
"Burma",2020-04-12,41,4,2,35
"Burma",2020-04-13,62,4,2,56
"Burma",2020-04-14,63,4,2,57
"Burma",2020-04-15,74,4,2,68
"Burma",2020-04-16,85,4,2,79
"Burundi",2020-04-01,2,0,0,2
"Burundi",2020-04-02,3,0,0,3
"Burundi",2020-04-03,3,0,0,3
"Burundi",2020-04-04,3,0,0,3
"Burundi",2020-04-05,3,0,0,3
"Burundi",2020-04-06,3,0,0,3
"Burundi",2020-04-07,3,0,0,3
"Burundi",2020-04-08,3,0,0,3
"Burundi",2020-04-09,3,0,0,3
"Burundi",2020-04-10,3,0,0,3
"Burundi",2020-04-11,5,0,0,5
"Burundi",2020-04-12,5,0,0,5
"Burundi",2020-04-13,5,1,0,4
"Burundi",2020-04-14,5,1,0,4
"Burundi",2020-04-15,5,1,0,4
"Burundi",2020-04-16,5,1,0,4
"Cabo Verde",2020-04-01,6,1,0,5
"Cabo Verde",2020-04-02,6,1,0,5
"Cabo Verde",2020-04-03,6,1,0,5
"Cabo Verde",2020-04-04,7,1,0,6
"Cabo Verde",2020-04-05,7,1,0,6
"Cabo Verde",2020-04-06,7,1,1,5
"Cabo Verde",2020-04-07,7,1,1,5
"Cabo Verde",2020-04-08,7,1,1,5
"Cabo Verde",2020-04-09,7,1,1,5
"Cabo Verde",2020-04-10,7,1,1,5
"Cabo Verde",2020-04-11,8,1,1,6
"Cabo Verde",2020-04-12,8,1,1,6
"Cabo Verde",2020-04-13,10,1,1,8
"Cabo Verde",2020-04-14,11,1,1,9
"Cabo Verde",2020-04-15,56,1,1,54
"Cabo Verde",2020-04-16,56,1,1,54
"Cambodia",2020-04-01,109,0,25,84
"Cambodia",2020-04-02,110,0,34,76
"Cambodia",2020-04-03,114,0,35,79
"Cambodia",2020-04-04,114,0,50,64
"Cambodia",2020-04-05,114,0,50,64
"Cambodia",2020-04-06,114,0,53,61
"Cambodia",2020-04-07,115,0,58,57
"Cambodia",2020-04-08,117,0,63,54
"Cambodia",2020-04-09,119,0,62,57
"Cambodia",2020-04-10,119,0,72,47
"Cambodia",2020-04-11,120,0,75,45
"Cambodia",2020-04-12,122,0,77,45
"Cambodia",2020-04-13,122,0,77,45
"Cambodia",2020-04-14,122,0,91,31
"Cambodia",2020-04-15,122,0,96,26
"Cambodia",2020-04-16,122,0,98,24
"Cameroon",2020-04-01,233,6,10,217
"Cameroon",2020-04-02,306,7,10,289
"Cameroon",2020-04-03,509,8,17,484
"Cameroon",2020-04-04,555,9,17,529
"Cameroon",2020-04-05,650,9,17,624
"Cameroon",2020-04-06,658,9,17,632
"Cameroon",2020-04-07,658,9,43,606
"Cameroon",2020-04-08,730,10,60,660
"Cameroon",2020-04-09,730,10,60,660
"Cameroon",2020-04-10,820,12,98,710
"Cameroon",2020-04-11,820,12,98,710
"Cameroon",2020-04-12,820,12,98,710
"Cameroon",2020-04-13,820,12,98,710
"Cameroon",2020-04-14,848,14,130,704
"Cameroon",2020-04-15,848,17,165,666
"Cameroon",2020-04-16,996,22,164,810
"Canada",2020-04-01,0,0,1324,0
"Canada",2020-04-01,0,1,0,0
"Canada",2020-04-01,2,0,0,0
"Canada",2020-04-01,5,0,0,0
"Canada",2020-04-01,13,0,0,0
"Canada",2020-04-01,21,0,0,0
"Canada",2020-04-01,81,0,0,0
"Canada",2020-04-01,127,1,0,0
"Canada",2020-04-01,173,0,0,0
